scdb_id,name,last,first,tenure_start,tenure_end,median_wikipedia_views,tenure
1,John Jay,Jay,John,10/19/1789,06/29/1795,27218.5,6
2,John Rutledge,Rutledge,John,02/15/1790,03/05/1791,6843.5,1
3,William Cushing,Cushing,William,02/02/1790,09/13/1810,1725.5,20
4,James Wilson,Wilson,James,10/05/1789,08/21/1798,4874.5,9
5,John Blair,Blair,John,02/02/1790,01/27/1796,1588.0,6
6,James Iredell,Iredell,James,05/12/1790,10/20/1799,1427.5,9
7,Thomas Johnson,Johnson,Thomas,09/19/1791,02/22/1793,735.0,2
8,William Paterson,Paterson,William,03/11/1793,09/09/1806,2743.5,13
9,John Rutledge,Rutledge,John,08/12/1795,12/15/1795,6843.5,0
10,Samuel Chase,Chase,Samuel,02/04/1796,06/19/1811,5603.0,15
11,Oliver Ellsworth,Ellsworth,Oliver,03/08/1796,12/15/1800,3962.0,4
12,Bushrod Washington,Washington,Bushrod,11/09/1798,11/26/1829,4848.5,31
13,Alfred Moore,Moore,Alfred,04/21/1800,01/26/1804,1515.5,4
14,John Marshall,Marshall,John,02/04/1801,07/06/1835,23962.5,34
15,William Johnson,Johnson,William,05/07/1804,08/04/1834,1066.0,30
16,Henry Livingston,Livingston,Henry,01/20/1807,03/18/1823,1083.0,16
17,Thomas Todd,Todd,Thomas,05/04/1807,02/07/1826,888.0,19
18,Gabriel Duvall,Duvall,Gabriel,11/23/1811,01/14/1835,1012.5,24
19,Joseph Story,Story,Joseph,02/03/1812,09/10/1845,4304.0,33
20,Smith Thompson,Thompson,Smith,09/01/1823,12/18/1843,1084.0,20
21,Robert Trimble,Trimble,Robert,06/16/1826,08/25/1828,721.5,2
22,John McLean,McLean,John,01/11/1830,04/04/1861,2794.0,31
23,Henry Baldwin,Baldwin,Henry,01/18/1830,04/21/1844,1117.5,14
24,James Wayne,Wayne,James,01/14/1835,07/05/1867,1172.5,32
25,Roger ?(?:Brooke|B\.)? Taney,Taney,Roger,03/28/1836,10/12/1864,12745.0,28
26,Philip Barbour,Barbour,Philip,05/12/1836,02/25/1841,1394.0,5
27,John Catron,Catron,John,05/01/1837,05/30/1865,1027.5,28
28,John McKinley,McKinley,John,04/22/1837,07/19/1852,1039.0,15
29,Peter Daniel,Daniel,Peter,01/10/1842,05/31/1860,364.5,18
30,Samuel Nelson,Nelson,Samuel,02/27/1845,11/28/1872,1172.0,27
31,Levi Woodbury,Woodbury,Levi,09/23/1845,09/04/1851,1910.5,6
32,Robert Grier,Grier,Robert,08/10/1846,01/31/1870,1208.5,24
33,Ben(?:jamin)? ?(?:Robbins|R\.)? Curtis,Curtis,Benjamin,10/10/1851,09/30/1857,1990.5,6
34,John Campbell,Campbell,John,04/11/1853,04/30/1861,2016.5,8
35,Nathan Clifford,Clifford,Nathan,01/21/1858,07/25/1881,1335.0,23
36,Noah Swayne,Swayne,Noah,01/27/1862,01/24/1881,965.0,19
37,Samuel ?(?:Freeman|F\.)? Miller,Miller,Samuel,07/21/1862,10/13/1890,1317.0,28
38,David Davis,Davis,David,10/17/1862,03/04/1877,2676.5,15
39,Stephen ?(?:Johnson|J\.)? Field,Field,Stephen,05/20/1863,12/01/1897,2731.5,34
40,Salmon Chase,Chase,Salmon,12/15/1864,05/07/1873,15816.0,9
41,William Strong,Strong,William,03/14/1870,12/14/1880,745.0,10
42,Joseph ?(?:Philo|P\.)? Bradley,Bradley,Joseph,03/21/1870,01/22/1892,1366.5,22
43,Ward Hunt,Hunt,Ward,01/09/1873,01/27/1882,825.5,9
